sleep_hours,screen_time,attendance,assignments,cooked_score
5,13,41,11,100.0
10,16,87,7,90.0
2,11,88,0,57.0
0,15,56,14,100.0
2,11,68,9,100.0
4,14,32,14,100.0
2,9,53,14,100.0
0,6,72,14,100.0
4,4,70,6,65.0
9,0,22,6,73.0
6,16,61,12,100.0
6,2,51,0,20.0
10,12,70,15,100.0
8,13,65,8,69.0
9,3,40,7,64.0
9,4,63,3,48.0
11,15,30,9,100.0
12,0,87,10,75.0
2,13,20,4,100.0
6,14,82,1,57.0
0,8,43,12,100.0
3,14,32,15,100.0
12,16,30,8,100.0
3,3,70,14,100.0
4,11,36,11,100.0
6,4,43,11,100.0
6,4,38,5,52.0
12,10,56,2,40.0
10,5,27,11,100.0
12,6,47,6,57.0
3,13,24,8,100.0
12,10,36,2,84.0
6,12,55,15,100.0
10,1,38,1,41.0
2,6,83,15,100.0
5,3,30,6,75.0
11,7,73,6,43.0
1,12,64,3,84.0
9,13,66,10,98.0
12,9,31,8,100.0
8,10,40,15,100.0
4,1,30,13,100.0
5,8,24,7,100.0
11,16,100,12,100.0
11,2,75,12,67.0
11,5,39,0,48.0
11,4,60,0,13.0
3,4,65,4,43.0
10,14,31,5,100.0
9,16,89,2,49.0
6,8,36,12,100.0
11,2,38,8,75.0
8,16,45,11,100.0
6,9,67,9,87.0
0,2,71,13,100.0
0,16,89,14,100.0
8,2,74,5,39.0
10,2,94,3,16.0
8,5,52,11,85.0
3,12,81,6,91.0
12,14,42,7,100.0
8,8,34,8,94.0
2,3,46,12,100.0
6,13,94,15,100.0
5,4,83,10,66.0
7,1,100,5,49.0
10,10,70,14,100.0
8,8,72,5,43.0
4,2,97,7,49.0
0,8,70,11,100.0
2,2,66,4,51.0
9,1,23,13,100.0
11,11,26,2,62.0
7,9,54,11,100.0
10,8,67,2,46.0
5,14,92,12,100.0
7,7,91,5,32.0
8,4,64,1,23.0
3,10,100,15,100.0
0,1,100,5,58.0
0,14,91,15,100.0
9,5,38,12,100.0
3,7,82,5,62.0
11,4,57,7,69.0
6,15,86,6,100.0
1,5,78,7,67.0
2,4,88,13,100.0
0,15,32,8,100.0
4,12,66,5,85.0
0,4,80,13,100.0
7,12,50,15,100.0
0,16,99,2,100.0
10,7,41,9,99.0
0,12,62,2,100.0
1,2,86,15,100.0
1,7,73,10,100.0
11,1,29,11,99.0
5,7,61,0,46.0
6,12,83,10,92.0
4,12,40,14,100.0
0,0,99,12,100.0
0,5,95,14,100.0
2,15,85,4,100.0
1,7,60,13,100.0
4,0,43,3,65.0
11,15,54,8,100.0
9,8,75,14,92.0
5,12,49,8,100.0
6,10,76,14,100.0
3,12,66,13,100.0
6,9,54,4,67.0
10,3,38,9,82.0
7,5,27,3,61.0
10,6,45,6,54.0
0,4,90,14,100.0
5,10,49,5,87.0
7,12,26,3,94.0
4,9,86,12,100.0
3,9,84,12,100.0
1,10,55,14,100.0
5,6,44,9,100.0
5,3,56,1,41.0
10,1,20,0,42.0
0,13,34,3,100.0
8,12,56,3,74.0
11,11,32,12,100.0
10,6,27,0,45.0
5,1,24,5,84.0
12,12,79,3,46.0
2,13,92,0,64.0
3,16,20,0,100.0
11,8,55,14,100.0
10,16,54,12,100.0
3,7,85,0,51.0
2,1,82,7,68.0
9,12,42,9,100.0
2,2,28,7,100.0
2,15,53,1,83.0
3,5,65,10,100.0
6,6,97,12,90.0
3,9,23,6,100.0
8,8,49,13,100.0
0,1,94,7,76.0
7,14,91,7,98.0
6,4,22,10,100.0
1,3,33,9,100.0
7,3,79,14,100.0
0,3,96,10,100.0
10,16,64,12,100.0
11,11,53,6,86.0
8,16,64,4,77.0
8,9,80,0,45.0
1,0,35,11,100.0
6,13,85,8,95.0
9,14,59,12,100.0
2,11,36,15,100.0
6,3,53,6,68.0
11,2,35,1,36.0
9,11,79,5,54.0
8,6,85,1,12.0
3,10,85,14,100.0
11,0,32,0,42.0
0,5,75,13,100.0
1,14,50,6,100.0
0,14,53,12,100.0
11,10,58,15,100.0
4,1,86,1,28.0
4,13,27,12,100.0
10,1,97,13,74.0
6,3,74,13,96.0
8,16,46,1,84.0
8,2,72,12,80.0
2,12,58,10,100.0
2,8,84,4,72.0
2,6,36,13,100.0
3,14,49,4,100.0
7,10,72,15,100.0
5,1,32,6,99.0
7,14,40,0,81.0
0,13,38,7,100.0
7,10,72,2,49.0
3,2,38,3,82.0
10,16,76,14,100.0
0,11,44,8,100.0
7,14,50,3,66.0
3,15,100,9,100.0
5,4,74,11,96.0
7,5,42,14,100.0
3,4,51,4,67.0
2,2,81,6,73.0
8,0,93,15,100.0
2,5,29,3,86.0
8,14,91,13,100.0
12,1,73,0,0.0
1,2,71,8,71.0
1,16,39,3,100.0
1,11,51,8,100.0
5,14,33,5,100.0
2,11,69,14,100.0
12,15,47,0,63.0
8,7,72,11,88.0
3,13,43,2,88.0
0,16,98,10,100.0
3,7,41,1,74.0
0,14,49,15,100.0
4,13,82,8,100.0
3,6,23,15,100.0
7,2,96,14,90.0
7,11,78,11,98.0
6,2,27,0,36.0
2,13,31,12,100.0
0,14,50,13,100.0
0,13,97,8,100.0
11,6,53,8,49.0
10,16,94,7,100.0
2,11,95,7,99.0
5,3,68,10,58.0
6,8,98,13,100.0
5,5,76,11,97.0
5,15,45,0,80.0
5,1,37,10,97.0
12,7,57,7,72.0
2,10,100,9,100.0
5,12,69,13,100.0
7,16,27,2,95.0
10,7,60,10,95.0
10,13,25,6,100.0
1,14,88,10,100.0
4,5,63,14,100.0
0,10,83,0,90.0
11,12,48,0,61.0
0,0,47,15,100.0
4,5,30,9,100.0
11,8,84,12,82.0
12,7,38,4,74.0
2,10,28,4,100.0
3,8,46,7,100.0
2,16,53,6,100.0
0,11,63,7,100.0
0,13,87,5,96.0
11,14,34,5,92.0
11,15,70,1,46.0
12,0,32,5,66.0
4,9,68,4,67.0
5,7,89,12,89.0
2,0,75,15,100.0
11,1,95,2,15.0
8,0,70,5,36.0
4,0,56,7,75.0
7,8,36,8,96.0
12,12,77,0,24.0
0,0,48,2,83.0
4,12,52,2,75.0
2,6,79,10,100.0
11,1,74,7,59.0
0,5,29,0,77.0
3,6,66,4,74.0
12,13,42,2,80.0
4,14,40,1,97.0
6,1,32,14,100.0
0,9,52,7,100.0
2,11,43,2,96.0
1,16,30,6,100.0
8,7,36,11,100.0
9,10,87,10,78.0
5,2,66,0,32.0
9,5,44,5,42.0
2,8,92,2,63.0
7,5,40,7,82.0
7,8,31,5,89.0
1,6,56,11,100.0
5,8,61,1,45.0
6,11,36,5,100.0
1,7,67,6,72.0
10,7,47,4,54.0
9,14,60,2,73.0
1,6,66,3,55.0
9,10,37,3,74.0
0,15,97,5,100.0
7,3,90,9,58.0
0,5,32,0,72.0
8,2,32,10,82.0
10,8,50,3,58.0
5,9,21,9,100.0
6,13,35,12,100.0
12,10,28,3,88.0
9,11,92,9,94.0
6,11,57,15,100.0
9,12,94,0,45.0
2,12,73,8,100.0
1,13,75,3,98.0
8,3,64,6,49.0
7,12,53,11,100.0
12,7,28,13,100.0
11,11,27,2,69.0
9,5,26,9,85.0
6,4,55,11,100.0
8,8,37,2,57.0
3,2,22,13,100.0
12,9,47,7,73.0
3,2,89,7,52.0
0,14,63,10,100.0
7,0,40,11,96.0
11,6,47,0,30.0
2,11,73,9,100.0
6,16,73,1,90.0
11,4,84,15,87.0
1,3,40,7,100.0
1,11,32,0,100.0
6,16,76,14,100.0
5,8,68,11,100.0
2,3,73,7,60.0
8,1,29,7,84.0
9,3,72,15,100.0
12,1,63,1,33.0
5,14,66,3,71.0
9,1,72,5,30.0
9,3,93,11,57.0
5,5,65,10,81.0
0,6,32,8,100.0
3,9,56,14,100.0
9,11,43,15,100.0
5,2,21,7,100.0
5,12,100,11,100.0
10,7,33,14,100.0
11,14,29,7,100.0
4,0,54,6,86.0
0,2,44,13,100.0
7,7,22,12,100.0
4,3,36,8,100.0
11,15,31,14,100.0
11,9,73,1,4.0
11,11,43,2,72.0
4,13,48,9,100.0
6,13,62,7,91.0
3,1,44,13,100.0
5,4,79,5,62.0
12,4,84,9,56.0
3,5,47,8,100.0
2,12,35,9,100.0
6,8,66,3,70.0
7,14,100,15,100.0
3,13,77,7,100.0
12,6,95,9,69.0
1,1,46,2,76.0
11,6,72,2,32.0
9,5,61,7,41.0
2,16,78,4,100.0
0,1,66,2,64.0
7,2,53,9,76.0
2,4,56,10,100.0
11,4,25,15,100.0
9,0,26,0,41.0
6,7,44,14,100.0
9,11,52,2,74.0
4,3,74,11,88.0
9,12,77,8,71.0
4,14,26,4,100.0
6,10,76,11,78.0
8,9,31,9,86.0
11,2,35,14,100.0
4,13,99,1,39.0
0,15,62,6,100.0
9,9,96,14,100.0
9,9,26,1,58.0
0,11,70,3,89.0
1,8,92,11,100.0
5,0,51,6,73.0
8,4,94,3,10.0
7,7,27,6,100.0
12,10,91,15,100.0
4,11,64,6,95.0
0,0,78,15,100.0
12,10,23,0,68.0
6,4,86,5,37.0
4,14,48,8,100.0
5,4,48,1,50.0
12,11,47,13,100.0
6,4,96,2,14.0
2,16,98,9,100.0
11,16,63,4,100.0
9,11,23,8,100.0
2,14,28,3,100.0
4,14,24,0,100.0
5,5,75,3,20.0
8,11,69,5,58.0
12,13,94,4,51.0
11,1,34,13,100.0
4,8,51,12,100.0
0,4,47,0,67.0
3,0,41,3,70.0
4,2,36,5,79.0
11,5,78,12,93.0
9,4,90,14,100.0
9,4,76,9,53.0
4,0,45,9,95.0
6,16,44,13,100.0
3,13,29,3,100.0
0,11,64,14,100.0
4,9,30,13,100.0
6,10,96,8,89.0
9,1,72,4,12.0
9,6,91,7,46.0
5,14,87,8,100.0
4,10,47,9,100.0
3,11,94,4,85.0
1,5,84,5,63.0
3,12,68,0,45.0
9,15,66,10,100.0
9,9,71,15,100.0
2,7,73,11,100.0
9,0,79,14,89.0
0,7,76,6,71.0
7,5,66,3,45.0
4,4,50,10,94.0
12,14,65,1,55.0
3,14,45,4,100.0
7,1,24,11,100.0
6,0,71,2,39.0
1,10,94,5,71.0
0,9,73,7,100.0
11,16,52,6,96.0
10,7,69,15,100.0
3,14,57,2,89.0
7,7,46,7,79.0
11,16,34,1,84.0
1,11,80,9,100.0
2,7,40,8,100.0
11,13,65,3,61.0
0,3,88,0,37.0
0,0,25,7,100.0
12,0,57,6,41.0
2,15,81,10,100.0
10,13,81,12,93.0
4,15,97,15,100.0
11,4,93,4,33.0
2,8,65,9,100.0
0,1,32,12,100.0
0,5,22,4,100.0
7,8,25,6,100.0
9,0,27,4,64.0
10,8,63,7,88.0
11,15,52,10,100.0
12,12,100,12,100.0
12,8,94,5,46.0
11,12,96,12,100.0
1,8,69,4,69.0
12,10,30,8,92.0
2,3,47,10,100.0
1,1,89,15,100.0
2,5,60,1,71.0
6,13,35,0,77.0
0,3,87,7,79.0
9,5,67,11,87.0
7,5,75,2,25.0
12,1,83,13,76.0
9,12,78,10,86.0
9,8,81,11,100.0
9,12,95,11,100.0
1,10,30,11,100.0
2,0,37,6,86.0
8,6,38,9,86.0
6,14,74,12,100.0
3,0,45,10,100.0
9,11,25,7,100.0
4,6,23,14,100.0
1,14,48,15,100.0
12,0,78,12,65.0
10,16,36,12,100.0
12,16,62,5,98.0
7,2,99,11,76.0
3,11,85,9,100.0
8,5,53,13,96.0
4,10,27,8,100.0
12,2,32,6,66.0
8,7,27,14,100.0
3,13,84,9,100.0
9,13,62,4,72.0
4,9,58,7,100.0
8,1,100,14,92.0
7,13,78,1,48.0
2,8,63,6,94.0
0,2,28,14,100.0
2,7,56,3,66.0
3,15,93,8,100.0
1,1,55,11,100.0
0,5,47,0,67.0
6,11,61,6,76.0
7,4,62,5,51.0
6,1,61,7,69.0
4,15,85,4,81.0
11,4,74,14,85.0
0,14,91,0,85.0
6,11,67,0,36.0
12,3,41,8,81.0
6,14,46,14,100.0
8,10,86,9,68.0
2,15,32,5,100.0
8,5,64,9,70.0
0,13,29,4,100.0
0,11,28,14,100.0
3,10,73,0,41.0
8,12,46,5,81.0
5,10,53,5,86.0
12,15,20,2,95.0
10,14,51,12,100.0
2,14,90,15,100.0
0,3,86,7,78.0
3,10,39,13,100.0
11,14,54,14,100.0
12,3,97,0,8.0
8,12,36,0,56.0
2,1,37,5,92.0
11,13,64,9,75.0
8,3,72,12,79.0
6,15,87,0,60.0
11,13,84,5,62.0
3,14,20,0,100.0
2,2,77,15,100.0
9,7,45,13,100.0
4,15,39,12,100.0
4,9,29,5,100.0
2,3,78,2,38.0
11,1,94,13,86.0
8,16,60,13,100.0
3,12,24,14,100.0
10,3,84,7,40.0
4,10,36,12,100.0
3,6,41,14,100.0
4,11,60,5,100.0
6,9,87,12,96.0
8,6,88,10,60.0
6,12,30,12,100.0
12,6,75,0,0.0
4,16,70,14,100.0
9,9,40,4,80.0
9,9,95,7,74.0
6,3,45,2,45.0
9,3,38,11,92.0
4,6,79,5,53.0
2,0,90,4,50.0
6,11,66,5,86.0
12,12,90,9,86.0
10,9,45,0,48.0
10,14,59,6,84.0
1,12,24,8,100.0
11,8,40,1,31.0
8,8,97,9,58.0
9,14,23,14,100.0
9,9,42,4,88.0
11,9,34,9,100.0
0,7,27,3,100.0
12,15,60,5,96.0
5,16,38,5,100.0
6,4,65,10,91.0
12,3,47,15,99.0
7,3,87,1,23.0
9,6,34,1,31.0
8,9,56,3,50.0
1,3,20,0,83.0
10,9,86,8,70.0
9,0,43,13,100.0
1,4,46,13,100.0
4,14,59,12,100.0
12,16,82,6,96.0
4,2,80,15,100.0
5,11,55,11,100.0
2,1,43,6,100.0
7,0,43,14,100.0
12,16,23,2,93.0
0,15,86,14,100.0
5,4,53,10,91.0
3,14,76,14,100.0
0,2,68,11,99.0
6,6,72,2,22.0
8,10,42,0,43.0
12,9,88,2,22.0
3,8,72,2,56.0
3,13,81,3,83.0
5,12,60,3,79.0
11,1,76,2,14.0
2,2,79,15,100.0
12,6,73,9,68.0
11,2,89,15,98.0
5,9,76,11,97.0
6,6,29,7,100.0
10,8,59,7,66.0
9,16,26,12,100.0
9,10,57,12,97.0
2,6,80,0,40.0
6,13,22,6,100.0
2,3,70,10,100.0
12,5,66,1,26.0
12,9,87,0,15.0
1,6,95,2,75.0
11,12,57,15,100.0
9,13,55,3,54.0
3,3,60,12,100.0
11,7,88,5,32.0
7,4,32,9,97.0
12,0,77,15,78.0
8,3,69,13,77.0
6,2,49,4,58.0
0,8,81,15,100.0
2,7,44,14,100.0
12,0,46,14,100.0
11,5,70,13,82.0
8,8,97,3,18.0
11,6,76,7,46.0
0,3,66,10,100.0
8,12,58,15,100.0
7,16,35,11,100.0
0,1,41,15,100.0
5,4,73,13,100.0
4,11,40,3,68.0
5,7,91,12,100.0
9,5,35,9,100.0
11,7,78,11,93.0
12,2,50,15,100.0
12,11,61,12,98.0
12,2,93,1,20.0
4,5,51,14,100.0
5,1,78,2,25.0
4,11,53,5,87.0
10,1,28,7,67.0
11,5,100,7,52.0
4,16,30,14,100.0
3,2,29,10,100.0
2,1,36,14,100.0
2,7,87,8,79.0
3,11,67,6,81.0
8,3,71,12,70.0
1,4,44,1,56.0
8,12,40,7,85.0
0,14,84,6,100.0
0,15,82,7,100.0
4,9,70,11,100.0
5,15,55,2,91.0
5,11,100,6,82.0
2,16,85,9,100.0
6,15,34,12,100.0
8,11,58,8,98.0
10,7,89,15,99.0
11,2,20,2,82.0
9,15,42,13,100.0
7,12,58,9,99.0
5,7,76,5,61.0
11,4,100,1,4.0
7,7,53,1,33.0
11,11,60,4,54.0
4,0,92,4,59.0
7,5,32,12,100.0
9,7,89,6,50.0
11,6,25,11,100.0
3,0,71,1,45.0
9,15,22,10,100.0
7,11,100,13,100.0
9,5,82,12,72.0
11,1,68,6,26.0
1,13,95,4,100.0
11,3,66,13,86.0
11,0,74,5,45.0
4,12,83,7,86.0
8,1,84,9,65.0
3,8,100,12,100.0
10,1,86,13,78.0
5,8,34,11,100.0
0,0,51,3,72.0
8,10,87,12,100.0
0,2,37,6,100.0
4,3,62,5,67.0
3,5,54,15,100.0
12,2,97,9,52.0
11,10,77,1,11.0
12,14,52,14,100.0
12,4,33,7,86.0
2,9,53,9,100.0
12,11,80,15,100.0
5,14,23,8,100.0
1,16,78,4,100.0
2,9,48,9,100.0
4,5,25,3,91.0
8,12,68,5,68.0
1,2,59,15,100.0
9,9,84,7,66.0
7,13,88,10,100.0
1,5,46,14,100.0
10,2,99,2,16.0
12,15,25,9,100.0
4,6,32,10,100.0
6,13,83,10,100.0
7,8,81,0,17.0
0,14,38,15,100.0
5,2,95,3,31.0
0,1,99,14,100.0
1,1,62,3,62.0
0,2,93,0,24.0
10,13,39,8,100.0
4,9,87,2,65.0
9,1,63,4,24.0
8,0,42,15,100.0
5,3,21,5,89.0
10,13,41,7,100.0
10,0,76,5,34.0
0,13,91,2,87.0
12,15,26,5,100.0
0,13,97,0,72.0
1,2,75,3,40.0
8,2,86,5,29.0
2,8,35,15,100.0
0,5,70,6,89.0
4,12,99,10,95.0
6,1,91,12,85.0
5,7,31,10,100.0
11,1,72,9,70.0
0,3,94,2,55.0
4,14,24,8,100.0
4,3,46,11,100.0
5,12,31,11,100.0
2,11,36,6,100.0
4,12,25,13,100.0
6,13,24,0,88.0
4,5,76,1,28.0
4,10,47,0,49.0
4,1,97,10,83.0
9,4,88,8,47.0
9,1,78,8,54.0
2,9,52,6,100.0
0,1,81,9,100.0
4,10,69,2,64.0
8,14,38,12,100.0
0,8,88,14,100.0
2,8,85,4,62.0
12,2,66,14,100.0
12,8,58,3,66.0
3,13,87,15,100.0
0,6,52,6,88.0
0,15,32,13,100.0
7,15,73,8,100.0
1,0,26,11,100.0
11,3,98,1,12.0
7,3,33,12,100.0
6,6,38,7,97.0
9,7,73,15,100.0
9,16,39,14,100.0
1,4,48,8,100.0
5,6,43,9,100.0
5,3,82,13,96.0
2,5,93,9,80.0
10,6,76,8,63.0
1,4,27,13,100.0
11,2,81,9,51.0
0,6,48,13,100.0
5,13,93,6,84.0
11,6,36,14,100.0
4,4,85,8,65.0
10,4,25,8,80.0
8,1,77,13,82.0
0,5,88,2,59.0
6,14,47,3,94.0
4,9,81,15,100.0
4,6,60,1,44.0
1,4,88,9,100.0
10,0,60,2,25.0
2,12,68,10,100.0
6,12,68,10,98.0
5,4,95,4,45.0
11,12,90,4,49.0
1,3,22,5,100.0
5,16,29,12,100.0
1,2,54,6,83.0
1,16,99,6,100.0
1,10,21,0,100.0
10,3,43,15,100.0
2,1,93,13,100.0
1,15,57,15,100.0
3,7,41,1,79.0
8,2,45,11,94.0
5,8,62,8,86.0
0,5,74,9,83.0
7,9,58,1,47.0
11,9,48,5,77.0
6,12,39,10,100.0
9,16,60,10,100.0
2,8,73,15,100.0
0,16,39,0,100.0
4,8,38,2,71.0
12,8,85,1,26.0
3,0,49,2,69.0
9,1,72,4,48.0
7,15,53,10,100.0
0,0,41,9,100.0
9,9,86,15,100.0
0,7,25,5,100.0
11,10,98,8,67.0
3,1,46,11,100.0
7,7,29,10,100.0
4,7,92,14,100.0
1,16,67,14,100.0
5,14,89,15,100.0
4,16,78,9,100.0
1,12,78,11,100.0
12,4,21,11,100.0
10,11,48,12,100.0
10,0,87,3,30.0
10,4,84,6,42.0
2,7,45,5,92.0
8,12,29,1,85.0
6,7,72,9,76.0
6,10,98,10,94.0
10,0,78,10,63.0
5,12,41,10,100.0
7,2,70,14,86.0
3,16,67,14,100.0
7,4,40,7,85.0
3,7,41,6,100.0
7,13,49,14,100.0
8,3,44,14,100.0
2,10,47,6,100.0
2,14,84,13,100.0
10,6,64,14,86.0
12,10,87,7,65.0
1,4,26,11,100.0
12,4,68,11,68.0
9,7,28,12,100.0
2,9,55,13,100.0
2,5,20,10,100.0
4,14,29,0,89.0
4,15,55,14,100.0
1,16,92,12,100.0
11,7,65,0,6.0
9,7,51,7,52.0
12,8,51,3,64.0
5,1,25,4,69.0
4,14,67,7,95.0
5,2,57,4,45.0
0,16,36,9,100.0
4,3,93,15,100.0
8,3,46,3,30.0
11,13,73,11,100.0
9,8,69,5,57.0
1,8,54,12,100.0
0,9,44,14,100.0
9,3,47,11,83.0
12,11,34,4,83.0
10,7,23,13,100.0
8,1,92,6,47.0
9,12,46,15,100.0
8,15,45,13,100.0
8,1,38,9,74.0
5,10,36,6,100.0
7,9,62,12,89.0
10,14,60,3,88.0
12,16,61,11,100.0
0,7,69,12,100.0
9,8,59,4,40.0
3,7,58,12,100.0
0,13,42,2,100.0
7,11,71,14,100.0
0,13,66,3,97.0
2,16,82,14,100.0
12,2,88,13,76.0
3,6,62,3,65.0
7,16,67,2,63.0
5,11,53,12,100.0
9,8,59,9,76.0
11,14,94,4,46.0
6,12,80,15,100.0
7,7,69,4,33.0
1,13,86,10,100.0
12,7,81,6,57.0
9,13,77,3,39.0
10,6,52,12,100.0
7,11,94,3,48.0
2,10,35,8,100.0
6,10,67,5,91.0
2,12,29,14,100.0
6,1,57,3,37.0
10,14,38,1,68.0
11,14,55,5,95.0
12,11,78,15,100.0
1,12,82,15,100.0
9,10,96,1,30.0
5,4,65,4,58.0
2,0,22,5,92.0
2,2,93,3,39.0
8,6,84,13,83.0
6,11,27,12,100.0
4,14,70,2,72.0
11,4,100,6,62.0
9,14,92,1,67.0
6,7,25,12,100.0
8,9,58,10,98.0
0,15,79,13,100.0
6,7,47,5,64.0
5,0,73,12,87.0
9,11,56,3,69.0
11,4,28,5,81.0
8,2,75,3,28.0
0,0,78,3,43.0
12,3,21,14,100.0
3,7,80,3,40.0
8,2,77,8,60.0
3,9,79,6,77.0
9,1,59,2,24.0
2,10,55,2,87.0
8,9,56,5,93.0
12,13,98,5,69.0
1,6,37,3,89.0
3,1,82,14,97.0
5,8,41,14,100.0
1,15,30,8,100.0
7,12,77,3,72.0
7,8,76,8,80.0
0,3,96,15,100.0
11,9,23,3,66.0
2,11,26,1,100.0
9,16,80,1,48.0
8,13,73,4,62.0
4,13,87,3,84.0
5,1,98,6,34.0
3,10,20,13,100.0
9,15,74,10,100.0
1,5,22,4,100.0
10,4,97,5,16.0
7,3,57,9,78.0
10,14,20,3,100.0
12,3,57,12,90.0
5,9,48,11,100.0
4,2,24,1,78.0
8,4,93,12,65.0
0,5,40,9,100.0
4,7,90,8,78.0
5,6,86,9,82.0
4,9,66,14,100.0
5,5,54,6,77.0
5,13,87,3,77.0
6,3,88,2,32.0
3,12,20,9,100.0
10,16,87,13,100.0
7,6,31,14,100.0
6,3,79,15,88.0
8,13,46,2,75.0
6,2,75,8,51.0
2,4,42,4,91.0
2,15,44,12,100.0
7,3,40,14,100.0
4,1,80,2,49.0
3,16,82,14,100.0
7,13,71,4,70.0
5,12,44,15,100.0
1,11,74,1,75.0
3,5,65,10,100.0
11,3,51,3,31.0
10,15,74,9,87.0
3,12,24,1,96.0
5,3,55,1,35.0
5,16,68,11,100.0
0,0,77,7,83.0
7,16,58,0,85.0
5,14,99,15,100.0
2,10,80,15,100.0
8,12,28,15,100.0
1,0,25,13,100.0
10,16,54,6,100.0
7,5,58,4,55.0
9,3,41,14,100.0
2,15,60,10,100.0
12,14,24,7,100.0
11,14,61,0,39.0
4,5,100,10,83.0
5,14,95,6,97.0
9,13,99,4,61.0
5,10,86,3,46.0
3,6,49,6,88.0
2,8,76,9,98.0
3,15,92,14,100.0
0,4,48,1,73.0
3,9,56,11,100.0
0,2,32,14,100.0
11,12,51,0,61.0
0,10,65,0,83.0
9,16,42,10,100.0
5,12,64,11,100.0
4,5,36,15,100.0
10,16,85,0,37.0
3,12,25,14,100.0
12,9,37,11,100.0
10,2,41,4,44.0
2,13,52,9,100.0
0,4,49,6,75.0
5,4,100,1,23.0
1,16,51,9,100.0
7,9,61,7,62.0
9,4,97,3,29.0
4,3,29,11,100.0
6,5,55,2,44.0
9,3,53,9,66.0
11,6,92,10,74.0
1,6,47,7,100.0
12,2,30,1,48.0
7,0,97,10,65.0
1,3,58,10,100.0
3,5,66,12,100.0
0,8,38,2,100.0
4,13,34,11,100.0
8,11,47,2,68.0
0,3,43,9,100.0
8,11,91,10,88.0
10,9,28,0,51.0
7,6,66,5,57.0
5,2,52,1,32.0
6,13,81,0,51.0
2,9,38,15,100.0
0,15,86,1,71.0
4,15,93,11,100.0
11,9,59,5,63.0
11,12,66,13,100.0
